manager,round,worker,m_eva,ai_eva,p1,p2,p3
worker5f359a0aa0b9125a3c6b8fff,3,60e03b0a759b4850df25f739,3,1,0.4900027544351074,0.45984855275443515,0.05014869281045752
worker5f359a0aa0b9125a3c6b8fff,3,5f8893a5e2f88a04b1833278,3,2,0.3530985162180814,0.3895162180814355,0.2573852657004831
worker5f3a851741c4f9694eafe24a,1,5c0682910ac58a00011568a5,3,2,0.35998351648351645,0.49223076923076925,0.1477857142857143
worker5f3a851741c4f9694eafe24a,1,5beeea64a79efb0001faf30a,2,2,0.3067930402930402,0.5250164835164836,0.16819047619047617
worker5f3a851741c4f9694eafe24a,2,5c0682910ac58a00011568a5,3,2,0.3670218462823726,0.5353511695906432,0.09762698412698415
worker5f3a851741c4f9694eafe24a,2,5beeea64a79efb0001faf30a,2,2,0.3876151918257182,0.48809909388856754,0.1242857142857143
worker5f3a851741c4f9694eafe24a,3,5c0682910ac58a00011568a5,3,2,0.3765739495798319,0.5369064425770308,0.08651960784313725
worker5f3a851741c4f9694eafe24a,3,5beeea64a79efb0001faf30a,2,1,0.43362698412698414,0.4006031746031747,0.16576984126984123
worker596f961cfe061d00011e3e03,1,615c92a79eaac944c5f156b6,2,2,0.4012619047619048,0.45049999999999996,0.14823809523809522
worker596f961cfe061d00011e3e03,1,5fbfa7490dcefd0251d79dff,2,1,0.49008543417366957,0.3638367346938775,0.14607783113245298
worker596f961cfe061d00011e3e03,1,5bcfde8c8301810001a33bea,1,1,0.49942105263157893,0.429424185463659,0.0711547619047619
worker596f961cfe061d00011e3e03,2,5fbfa7490dcefd0251d79dff,3,1,0.5195964052287583,0.3627668067226891,0.11763678804855275
worker596f961cfe061d00011e3e03,2,615c92a79eaac944c5f156b6,2,2,0.4121904761904763,0.44499999999999995,0.14280952380952383
worker596f961cfe061d00011e3e03,2,5bcfde8c8301810001a33bea,1,1,0.47136363636363643,0.30216666666666664,0.226469696969697
worker596f961cfe061d00011e3e03,3,615c92a79eaac944c5f156b6,2,1,0.4649889817784555,0.44100180500368474,0.09400921321785985
worker596f961cfe061d00011e3e03,3,5fbfa7490dcefd0251d79dff,3,1,0.8273105037258982,0.1676984998755424,0.004990996398559424
worker5bcfde8c8301810001a33bea,1,615c92a79eaac944c5f156b6,3,2,0.4012619047619048,0.45049999999999996,0.14823809523809522
worker5bcfde8c8301810001a33bea,1,596f961cfe061d00011e3e03,3,1,0.4877311355311356,0.4558244200244199,0.05644444444444445
worker5bcfde8c8301810001a33bea,2,615c92a79eaac944c5f156b6,3,2,0.4121904761904763,0.44499999999999995,0.14280952380952383
worker5f480e566265722a9b2b2660,1,5daec9633990ed0014564662,1,1,0.4982312534209087,0.348540727471762,0.15322801910732944
worker5f480e566265722a9b2b2660,2,5daec9633990ed0014564662,3,1,0.5532630718954249,0.3690168067226891,0.07772012138188608
worker5f480e566265722a9b2b2660,3,5daec9633990ed0014564662,2,1,0.8403220030624747,0.15101052995073033,0.00866746698679472
worker5f480e566265722a9b2b2660,3,5d35989e71b4880017d5cc81,1,1,0.43509523809523803,0.4075952380952382,0.15730952380952382
worker60b7e7db11897639638f15cb,1,6086b9cc58c7269cc737c68e,2,2,0.32174542124542116,0.5075879120879121,0.17066666666666663
worker60b7e7db11897639638f15cb,2,6086b9cc58c7269cc737c68e,2,1,0.6302610655598273,0.24606586521248175,0.12367306922769107
worker60b7e7db11897639638f15cb,1,Maddie,2,2,0.42461131996658324,0.4540409356725146,0.12134774436090227
worker60b7e7db11897639638f15cb,3,6086b9cc58c7269cc737c68e,2,2,0.35630494505494503,0.4964688644688644,0.14722619047619045
worker5f0094fc2e1a9e1b4ea12b2e,1,yes,3,1,0.46144696969696974,0.3676428571428571,0.17091017316017318
worker5f0094fc2e1a9e1b4ea12b2e,1,5dd25456cc192027096069bb,2,2,0.3326785714285714,0.5108333333333334,0.15648809523809523
